name,address,type,latitude,longitude,note
Cycle BC Rentals & Tours,"73 E 6th Ave #10, Vancouver, BC V5T 1J3",rental,49.26722605,-123.1013534,Mon-Sun 9a.m.-6p.m
Bike Star Bike Rentals,"1218 Cartwright St, Vancouver, BC V6H 3R9",rental,49.26928334,-123.1310309,
Cycle City Tours And Bike Rentals,"648 Hornby St, Vancouver, BC V6C 2G2",rental,49.28446471,-123.1193341,Mon-Sun 9a.m.-6p.m
Mobi Bike Station,"3161 Ontario Bikeway, Vancouver, BC V5T 2Y9",rental,49.25761834,-123.101404,
Flat Fix Bike Shop,"2496 Victoria Dr, Vancouver, BC V5N 4L3",repair,49.26397731,-123.0614503,Mon-Sat 12a.m-6.p.m
Reckless Bike Stores,"110 Davie St, Vancouver, BC V6Z 2V4",repair,49.27424392,-123.1142822,
Dream Cycle,"1010 Commercial Dr, Vancouver, BC V5L 3W9",repair,49.27659273,-123.0660656,Mon-Sat 10a.m-6.p.m
Enroute Bike Service Studio,"2205 W 1st Ave, Vancouver, BC V6K 1E9",repair,49.27183055,-123.1559298,Mon-Sun 7a.m-4.p.m
Canadian Tire,"2290 Cambie St, Vancouver, BC V5Z 2T7",airpump,49.26641942,-123.1143602,Mon-Sun 9a.m-9.p.m
The Home Depot,"900 Terminal Ave, Vancouver, BC V6A 4G4",airpump,49.26999867,-123.082459,Mon-Sun 6a.m-9.p.m
Air pump,"3388 Main St, Vancouver, BC V5V 3M7",airpump,49.25197006,-123.1012565,
Air pump,"1185 Robson St, Vancouver, BC V6E 1B5",airpump,49.28661092,-123.1248432,
